Date,Open,High,Low,Close
13-Jun-01,3499.32,3519.13,3492.95,3501.61
14-Jun-01,3491.36,3501.5,3446.96,3453.77
15-Jun-01,3434.33,3434.33,3360.11,3372.94
18-Jun-01,3368.68,3368.68,3295.34,3353.11
19-Jun-01,3357.11,3418.99,3339.84,3410.95
20-Jun-01,3410.1,3420.33,3369.31,3406.05
21-Jun-01,3408.28,3427.75,3385.87,3405.64
22-Jun-01,3402.14,3409.76,3361.79,3381.76
25-Jun-01,3378.17,3378.17,3306.83,3318.67
26-Jun-01,3313.13,3417.94,3287.94,3407.32
27-Jun-01,3407.68,3434.13,3378.53,3411.64
28-Jun-01,3411.68,3427.37,3391.72,3404.86
29-Jun-01,3406.79,3474.71,3394.91,3456.78
02-Jul-01,3480.06,3487,3418.28,3426.03
03-Jul-01,3452.11,3452.11,3300.15,3312.29
04-Jul-01,3295.85,3337.52,3286.77,3311.88
05-Jul-01,3321.14,3364.8,3306.74,3317.63
06-Jul-01,3299.96,3310.1,3286.74,3305.78
09-Jul-01,3290.85,3299.57,3260.68,3290.81
10-Jul-01,3300.98,3340.88,3296.41,3328.27
11-Jul-01,3328.37,3388.75,3316.85,3376.21
12-Jul-01,3390.34,3459.37,3384.74,3452.75
13-Jul-01,3470.94,3513.79,3438.03,3453.99
16-Jul-01,3453.63,3478.11,3427.82,3434.83
17-Jul-01,3414.06,3440.29,3397.65,3431.93
18-Jul-01,3434.94,3446.18,3377.58,3383.41
19-Jul-01,3372.92,3380.27,3352.12,3370.93
20-Jul-01,3375.82,3389.49,3331.42,3340.75
23-Jul-01,3340.89,3340.89,3310.95,3330.98
24-Jul-01,3326.84,3340.91,3306.17,3335.08
25-Jul-01,3307.16,3338.22,3296.43,3301.97
26-Jul-01,3298.64,3318.6,3254.28,3259.03
27-Jul-01,3260.04,3278.85,3241.66,3251.53
30-Jul-01,3255.92,3289.46,3249.46,3285.89
31-Jul-01,3288.86,3335.67,3255.98,3329.28
01-Aug-01,3335,3346.21,3276.72,3284.17
02-Aug-01,3293.83,3310.86,3278.54,3298.78
03-Aug-01,3300.02,3337.79,3300.02,3325.38
06-Aug-01,3323.36,3356.34,3322.44,3329.95
07-Aug-01,3322.81,3345.98,3317.44,3319.67
08-Aug-01,3317.51,3321.18,3294.19,3302.32
09-Aug-01,3290.86,3324.96,3279.62,3319.61
10-Aug-01,3312.5,3335.71,3308.76,3316.21
13-Aug-01,3321.19,3332.28,3283.44,3287.62
14-Aug-01,3290.58,3336.47,3290.58,3331.89
16-Aug-01,3326.24,3357.07,3321.74,3337.91
17-Aug-01,3341.95,3359.07,3293.83,3296.71
20-Aug-01,3287.69,3290.24,3271.54,3278.92
21-Aug-01,3286.13,3310.53,3286.13,3297.43
23-Aug-01,3307.29,3316.33,3292.66,3308.79
24-Aug-01,3302.22,3308.9,3287.58,3305.51
27-Aug-01,3318.44,3337.94,3310.29,3318.32
28-Aug-01,3318.65,3333.17,3308.35,3313.07
29-Aug-01,3282.3,3327.67,3282.3,3300.62
30-Aug-01,3296.78,3305.98,3281.17,3286.87
31-Aug-01,3282.39,3282.39,3241.12,3244.95
03-Sep-01,3245.71,3267.93,3222.53,3227.12
04-Sep-01,3227.86,3246.76,3209.84,3231.6
